run_number,cpu_type,l1d_size,l1i_size,l2_size,replacement_policy,branch_predictor,execution_time
1,MinorCPU,32kB,32kB,32kB,LRURP,BiModeBP,440.3147985935211
2,MinorCPU,32kB,32kB,32kB,RandomRP,BiModeBP,468.197557926178
3,MinorCPU,32kB,32kB,32kB,LRURP,LTAGE,421.1803488731384
4,MinorCPU,32kB,32kB,32kB,RandomRP,LTAGE,471.2533938884735
5,MinorCPU,32kB,32kB,32kB,LRURP,TAGE,467.80348205566406
6,MinorCPU,32kB,32kB,32kB,RandomRP,TAGE,475.1156759262085
7,MinorCPU,64kB,64kB,64kB,LRURP,BiModeBP,449.9659974575043
8,MinorCPU,64kB,64kB,64kB,RandomRP,BiModeBP,417.9307351112366
9,MinorCPU,64kB,64kB,64kB,LRURP,LTAGE,394.84474873542786
10,MinorCPU,64kB,64kB,64kB,RandomRP,LTAGE,402.8149788379669
11,MinorCPU,64kB,64kB,64kB,LRURP,TAGE,391.37224555015564
12,MinorCPU,64kB,64kB,64kB,RandomRP,TAGE,402.33182668685913
13,MinorCPU,128kB,128kB,128kB,LRURP,BiModeBP,390.54415702819824
14,MinorCPU,128kB,128kB,128kB,RandomRP,BiModeBP,397.36462235450745
15,MinorCPU,128kB,128kB,128kB,LRURP,LTAGE,389.97500443458557
16,MinorCPU,128kB,128kB,128kB,RandomRP,LTAGE,398.9510977268219
17,MinorCPU,128kB,128kB,128kB,LRURP,TAGE,386.0399832725525
18,MinorCPU,128kB,128kB,128kB,RandomRP,TAGE,394.0627717971802
19,AtomicSimpleCPU,32kB,32kB,32kB,LRURP,BiModeBP,88.3315281867981
20,AtomicSimpleCPU,32kB,32kB,32kB,RandomRP,BiModeBP,89.00361609458923
21,AtomicSimpleCPU,32kB,32kB,32kB,LRURP,LTAGE,96.35875797271729
22,AtomicSimpleCPU,32kB,32kB,32kB,RandomRP,LTAGE,98.00113224983215
23,AtomicSimpleCPU,32kB,32kB,32kB,LRURP,TAGE,94.1268322467804
24,AtomicSimpleCPU,32kB,32kB,32kB,RandomRP,TAGE,92.12228441238403
25,AtomicSimpleCPU,64kB,64kB,64kB,LRURP,BiModeBP,80.91134023666382
26,AtomicSimpleCPU,64kB,64kB,64kB,RandomRP,BiModeBP,81.11611533164978
27,AtomicSimpleCPU,64kB,64kB,64kB,LRURP,LTAGE,89.40497207641602
28,AtomicSimpleCPU,64kB,64kB,64kB,RandomRP,LTAGE,89.66412234306335
29,AtomicSimpleCPU,64kB,64kB,64kB,LRURP,TAGE,86.33309388160706
30,AtomicSimpleCPU,64kB,64kB,64kB,RandomRP,TAGE,86.38890624046326
31,AtomicSimpleCPU,128kB,128kB,128kB,LRURP,BiModeBP,80.5816216468811
32,AtomicSimpleCPU,128kB,128kB,128kB,RandomRP,BiModeBP,81.49142217636108
33,AtomicSimpleCPU,128kB,128kB,128kB,LRURP,LTAGE,89.57331109046936
34,AtomicSimpleCPU,128kB,128kB,128kB,RandomRP,LTAGE,89.6867139339447
35,AtomicSimpleCPU,128kB,128kB,128kB,LRURP,TAGE,85.96123909950256
36,AtomicSimpleCPU,128kB,128kB,128kB,RandomRP,TAGE,85.77404975891113
